-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715,552,786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729
-1069,-969,-672,-320,-378,666,557,1185,575,715,552,786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946
-969,-672,-320,-378,666,557,1185,575,715,552,786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011
-672,-320,-378,666,557,1185,575,715,552,786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873
-320,-378,666,557,1185,575,715,552,786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722
-378,666,557,1185,575,715,552,786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462
666,557,1185,575,715,552,786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339
557,1185,575,715,552,786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186
1185,575,715,552,786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208
575,715,552,786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163
715,552,786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147
552,786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861
786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889
926,1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889,725
1234,1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889,725,679
1708,1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889,725,679,801
1888,1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889,725,679,801,805
1618,1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889,725,679,801,805,1010
1818,1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889,725,679,801,805,1010,1236
1598,1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889,725,679,801,805,1010,1236,1330
1460,1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889,725,679,801,805,1010,1236,1330,1390
1381,1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889,725,679,801,805,1010,1236,1330,1390,1156
1414,1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889,725,679,801,805,1010,1236,1330,1390,1156,1372
1729,1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889,725,679,801,805,1010,1236,1330,1390,1156,1372,1703
1946,2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889,725,679,801,805,1010,1236,1330,1390,1156,1372,1703,2091
2011,1873,1722,1462,1339,1186,1208,1163,1147,861,889,725,679,801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023
1873,1722,1462,1339,1186,1208,1163,1147,861,889,725,679,801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075
1722,1462,1339,1186,1208,1163,1147,861,889,725,679,801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928
1462,1339,1186,1208,1163,1147,861,889,725,679,801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685
