-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212
-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261
-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261,94
-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458
-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114
-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607
-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221
-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221,759
-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221,759,2134
-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221,759,2134,3085
-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221,759,2134,3085,3556
-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221,759,2134,3085,3556,3766
-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734
-541,-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000
-403,55,-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147
55,-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028
-32,-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028,506
-14,-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028,506,656
-226,-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028,506,656,364
-176,-98,-431,-389,-212,261,94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028,506,656,364,148
-98,-431,-389,-212,261,94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028,506,656,364,148,276
-431,-389,-212,261,94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028,506,656,364,148,276,384
-389,-212,261,94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028,506,656,364,148,276,384,600
-212,261,94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028,506,656,364,148,276,384,600,256
261,94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028,506,656,364,148,276,384,600,256,278
94,-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028,506,656,364,148,276,384,600,256,278,171
-458,-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028,506,656,364,148,276,384,600,256,278,171,214
-1114,-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028,506,656,364,148,276,384,600,256,278,171,214,72
-607,221,759,2134,3085,3556,3766,2734,2000,1147,1028,506,656,364,148,276,384,600,256,278,171,214,72,91
221,759,2134,3085,3556,3766,2734,2000,1147,1028,506,656,364,148,276,384,600,256,278,171,214,72,91,-403
759,2134,3085,3556,3766,2734,2000,1147,1028,506,656,364,148,276,384,600,256,278,171,214,72,91,-403,-515
